region,province,city_or_municipality_including_districts,registered_voter,male,female,17-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-above,literacy,indigenous_people,person_with_disability,single,married,widow,legally_seperated
Special Provinces,Special Provinces,Isabela City,68450,33356,35094,7494,10747,9730,8212,6539,6011,5190,4387,3540,2656,3944,94.87%,1,786,31969,33585,2181,715
Special Provinces,Special Provinces,Cotabato City,103530,49470,54060,3516,12797,14826,14969,12018,10437,9341,7638,6197,4442,7349,99.81%,0,657,48566,51002,2865,1097
NCR,Manila,"Manila, 3rd District",148663,71888,76775,4627,19204,21810,18830,17368,14733,13632,11424,9329,7307,10399,99.98%,1,108,88439,56661,3032,531
NCR,Manila,"Manila, 5th District",188080,88348,99732,5008,23289,26186,23465,22066,18414,17856,15293,12696,9896,13911,99.96%,0,197,107194,74998,4583,1305
NCR,Manila,"Manila, 6th District",142151,65866,76285,3607,17710,19461,17534,15632,13177,12847,11623,10094,8240,12226,99.99%,0,59,78789,59789,3072,501
NCR,Manila,"Manila, 1st District",215264,97988,117276,6311,28609,30556,25877,24680,20557,20021,17603,14753,11221,15076,99.96%,0,371,116988,93190,4449,637
NCR,Manila,"Manila, 2nd District",128781,59949,68832,11787,17462,15707,15190,12761,11992,11219,9931,8516,6327,7889,99.96%,0,201,71143,53992,3209,437
NCR,Manila,"Manila, 4th District",151540,71024,80516,14627,21602,18838,17255,14400,14039,13008,11710,9593,7110,9358,99.98%,0,179,88492,59291,3348,409
NCR,Second District,City of Mandaluyong,200760,92580,108180,19443,28551,25906,24892,21508,19688,16767,14084,11386,8329,10206,99.95%,0,658,116371,79948,3970,471
NCR,Second District,"City of Marikina, 1st District",94750,42515,52235,3171,11505,11092,10634,10515,9484,9619,8169,6867,5352,8342,99.98%,0,174,50457,42296,1725,272
NCR,Second District,"City of Marikina, 2nd District",122961,53724,69237,12132,16158,14312,13822,12501,12019,11042,9470,7962,6064,7479,99.97%,1,282,64598,55667,2384,312
NCR,Second District,"City of Pasig, 1st District",152219,69028,83191,13738,19796,18234,18322,16033,14700,12737,10796,9695,7838,10330,99.98%,0,537,83144,64782,3741,552
NCR,Second District,"City of Pasig, 2nd District",238704,106161,132543,7930,31292,30716,28486,29060,25120,22354,17719,14867,12762,18398,99.90%,0,1228,122371,110033,5796,504
NCR,Second District,"Quezon City, 1st District",184554,83052,101502,15156,24000,22345,21181,18857,17940,16584,14858,12565,9085,11983,99.99%,0,339,99551,80424,3849,730
NCR,Second District,"Quezon City, 2nd District",279166,122755,156411,11334,41517,39027,33488,32427,28434,26754,21916,17703,12740,13826,99.98%,2,309,141321,131718,5422,705
