Regions,Duterte,Roxas,Poe,Binay,Santiago
NCR,2127273,693593,997869,672903,333913
CAR,134049,131937,201508,169902,80597
1,621827,309634,834439,449792,197791
2,264952,182310,321002,683344,43253
3,1642663,798567,1481482,701092,193618
4A,1950145,963444,1584113,996108,255656
4B,262157,428323,343985,161779,18103
5,347729,889441,893291,284142,45202
6,289547,1224577,318125,132308,82290
7,1473936,824439,334523,175283,42375
8,613304,627755,421932,383008,31484
9,538351,383538,321805,97356,14126
10,1080357,514496,248838,107568,14182
11,1840031,118145,67421,24960,5959
12,1062828,272844,145671,98973,10146
13,679542,357266,140936,40053,6299
NIR,434035,934177,341289,94857,39558
ARMM,920743,272389,75180,129574,3080
, , , , , 
